level,xp_required,name,icon
1,25,Daydreamer,💭
2,30,Note Taker,📝
3,35,Fresh Starter,🌱
4,40,Focus Finder,🔍
5,45,Pomodoro Pupil,⏱️
6,50,Task Tackler,✅
7,55,Study Sprinter,🏃‍♂️
8,60,Time Tracker,⌛
9,65,Desk Dweller,🪑
10,70,Momentum Builder,🔄
11,75,Schedule Smasher,📅
12,80,Planner,🗂️
13,85,Notebook Knight,📓
14,90,Consistency Seeker,🔁
15,95,Focus Apprentice,🧘‍♂️
16,100,Timer Technician,⏳
17,105,Deep Diver,🌊
18,110,Pomodoro Pro,🍅
19,115,Study Streaker,📈
20,120,Concentration Cadet,🎯
21,125,Calendar Conqueror,📆
22,130,XP Explorer,🧭
23,135,Study Strategist,🧩
24,140,Brainstormer,⚡
25,145,Routine Riser,🌄
26,150,Grind Guru,🔨
27,155,Discipline Dabbler,🪞
28,160,Homework Hero,🦸‍♂️
29,165,Tracker Titan,📊
30,170,Focused Flame,🔥
31,175,Zen Zoner,🧘
32,180,Mental Mechanic,⚙️
33,185,Study Scientist,🔬
34,190,Review Ruler,🧾
35,195,Focus Master,🎓
36,200,Academic Adventurer,🗺️
37,205,XP Architect,🏗️
38,210,Study Samurai,🥷
39,215,Learning Locksmith,🗝️
40,220,XP Engineer,🧑‍💻
41,225,Planner Prodigy,✍️
42,230,Session Slayer,💥
43,235,Brain Builder,🧱
44,240,Reading Rocket,🚀
45,245,Knowledge Keeper,📚
46,250,Study Strategist,♟️
47,255,Task Titan,🗻
48,260,Goal Getter,🎯
49,265,Brainstorm Beast,🧠
50,270,Deep Work Disciple,🧘‍♀️
51,275,Knowledge Knight,🛡️
52,280,Distraction Dodger,🌀
53,285,Focus Finisher,🏁
54,290,Productivity Paladin,⚔️
55,295,Habit Hacker,🧱
56,300,Time Tactician,🧭
57,305,Pomodoro Pioneer,🛰️
58,310,Study Sleuth,🕵️‍♂️
59,315,Routine Renegade,🛤️
60,320,Mental Maestro,🎼
61,325,Time Mage,🧙‍♂️
62,330,Distraction Slayer,🛡️
63,335,Ritual Master,📜
64,340,Cognition Commander,🧠
65,345,Flowstate Ascender,🌌
66,350,Peak Performer,⛰️
67,355,Study Sage,🔮
68,360,Focus Astronaut,🧑‍🚀
69,365,Idea Alchemist,💡
70,370,Mind Tamer,🐉
71,375,XP Alchemist,⚗️
72,380,Mindful Monk,🛕
73,385,Willpower Warrior,🥋
74,390,Thought Tinkerer,🧠
75,395,Brainwave Surfer,🌊
76,400,Deep Thought Diver,🤿
77,405,Focus Forgemaster,🔨
78,410,Zen Mastermind,🧘‍♂️
79,415,Discipline Demigod,🏛️
80,420,Scholar Supreme,👑
81,425,Study Strategist X,🧠
82,430,XP Whisperer,🐾
83,435,Hyperfocus Herald,📢
84,440,Productivity Oracle,🪬
85,445,Thoughtsmith,🔩
86,450,Learning Luminary,✨
87,455,Routine Revenant,👻
88,460,Study Spellcaster,✨
89,465,Master of Momentum,🎡
90,470,Time Lord,⏱️
91,475,Knowledge Conductor,🎼
92,480,Focus Nomad,🧳
93,485,XP Voyager,🚀
94,490,Study Sentinel,🛡️
95,495,Attention Ascetic,🕯️
96,500,Memory Mechanic,🛠️
97,505,Leveling Legend,🏆
98,510,Learning Phoenix,🔥
99,NULL,Mind Monk,🧘‍♂️
